x,y,z
-647.9962090339515,-5.249999999335015,6.0
-647.4962090339515,-5.249999999422828,6.0
-646.9962090339515,-5.249999999510641,6.0
-646.4962090339515,-5.2499999995984545,6.0
-645.9962090339515,-5.249999999686268,6.0
-645.4962090339515,-5.249999999774081,6.0
-644.9962090339515,-5.2499999998618945,6.0
-644.4962090339515,-5.249999999949708,6.0
-643.9962090339515,-5.250000000037521,6.0
-643.4962090339515,-5.250000000005902,6.0
-642.9962090339515,-5.249999999974283,6.0
-642.4962090339515,-5.249999999942664,6.0
-641.9962090339515,-5.2499999999110445,6.0
-641.4962090339515,-5.249999999879425,6.0
-640.9962090339515,-5.249999999847806,6.0
-640.4962090339515,-5.249999999816187,6.0
-639.9962090339515,-5.249999999784568,6.0
-639.4962090339515,-5.249999999752949,6.0
-638.9962090339515,-5.24999999972133,6.0
-638.4962090339515,-5.24999999968971,6.0
-637.9962090339515,-5.2499999996490825,6.0
-637.4962090339515,-5.2499999996084545,6.0
-636.9962090339515,-5.249999999567827,6.0
-636.4962090339515,-5.249999999527199,6.0
-635.9962090339515,-5.249999999486571,6.0
-635.4962090339515,-5.249999999445943,6.0
-634.9962090339515,-5.249999999405315,6.0
-634.4962090339515,-5.249999999364687,6.0
-633.9962090339515,-5.249999999324059,6.0
-633.4962090339515,-5.249999999283431,6.0
-632.9962090339515,-5.249999999242803,6.0
-632.4962090339515,-5.2499999993247615,6.0
-631.9962090339515,-5.24999999940672,6.0
-631.4962090339515,-5.249999999488678,6.0
-630.9962090339515,-5.249999999570637,6.0
-630.4962090339515,-5.249999999652595,6.0
-629.9962090339515,-5.249999999734554,6.0
-629.4962090339515,-5.249999999816512,6.0
-628.9962090339515,-5.2499999998984705,6.0
-628.4962090339515,-5.249999999980429,6.0
-627.9962090339515,-5.250000000062387,6.0
-627.4962090339515,-5.250000000144346,6.0
-626.9962090339515,-5.25000000010944,6.0
-626.4962090339515,-5.250000000074533,6.0
-625.9962090339515,-5.250000000039627,6.0
-625.4962090339515,-5.250000000004721,6.0
-624.9962090339515,-5.249999999969814,6.0
-624.4962090339515,-5.249999999934908,6.0
-623.9962090339515,-5.249999999900002,6.0
-623.4962090339515,-5.2499999998650955,6.0
-622.9962090339515,-5.249999999830189,6.0
-622.4962090339515,-5.249999999795283,6.0
-621.9962090339515,-5.249999999760377,6.0
-621.4962090339515,-5.249999999720347,6.0
-620.9962090339515,-5.249999999680318,6.0
-620.4962090339515,-5.249999999640289,6.0
-619.9962090339515,-5.249999999600259,6.0
-619.4962090339515,-5.24999999956023,6.0
-618.9962090339515,-5.249999999520201,6.0
-618.4962090339515,-5.249999999480171,6.0
-617.9962090339515,-5.249999999440142,6.0
-617.4962090339515,-5.249999999400113,6.0
-616.9962090339515,-5.249999999360083,6.0
-616.4962090339515,-5.249999999320054,6.0
-615.9962090339515,-5.249999999407289,6.0
-615.4962090339515,-5.249999999494524,6.0
-614.9962090339515,-5.2499999995817594,6.0
-614.4962090339515,-5.2499999996689946,6.0
-613.9962090339515,-5.24999999975623,6.0
-613.4962090339515,-5.249999999843465,6.0
-612.9962090339515,-5.2499999999307,6.0
-612.4962090339515,-5.250000000017935,6.0
-611.9962090339515,-5.25000000010517,6.0
-611.4962090339515,-5.250000000192405,6.0
-610.9962090339515,-5.25000000027964,6.0
-610.4962090339515,-5.250000000241769,6.0
-609.9962090339515,-5.250000000203898,6.0
-609.4962090339515,-5.250000000166027,6.0
-608.9962090339515,-5.250000000128156,6.0
-608.4962090339515,-5.250000000090285,6.0
-607.9962090339515,-5.250000000052414,6.0
-607.4962090339515,-5.250000000014543,6.0
-606.9962090339515,-5.249999999976672,6.0
-606.4962090339515,-5.249999999938801,6.0
-605.9962090339515,-5.24999999990093,6.0
-605.4962090339515,-5.249999999863059,6.0
-604.9962090339515,-5.2499999998239035,6.0
-604.4962090339515,-5.249999999784748,6.0
-603.9962090339515,-5.249999999745593,6.0
-603.4962090339515,-5.2499999997064375,6.0
-602.9962090339515,-5.249999999667282,6.0
-602.4962090339515,-5.249999999628127,6.0
-601.9962090339515,-5.2499999995889715,6.0
-601.4962090339515,-5.249999999549816,6.0
-600.9962090339515,-5.249999999510661,6.0
-600.4962090339515,-5.249999999471505,6.0
-599.9962090339515,-5.249999999553123,6.0
-599.4962090339515,-5.24999999963474,6.0
-598.9962090339515,-5.249999999716358,6.0
-598.4962090339515,-5.249999999797975,6.0
-597.9962090339515,-5.249999999879592,6.0
-597.4962090339515,-5.24999999996121,6.0
-596.9962090339515,-5.250000000042827,6.0
-596.4962090339515,-5.2500000001244445,6.0
-595.9962090339515,-5.250000000206062,6.0
-595.4962090339515,-5.250000000287679,6.0
-594.9962090339515,-5.250000000369297,6.0
